Açık artırma bilgileri raporu
20 Eylül 2025 - 19 Ekim 2025
Görünen URL alanı,Gösterim payı,Çakışma oranı,Daha üst konum oranı,Sayfanın üst kısmı oranı,Mutlak Sayfanın üst kısmı oranı,Geçiş payı
brcakuistanbul.com,< %10,"9,68%","45,92%","53,92%","26,58%","35,85%"
onurakumarket.com,< %10,"9,73%","8,70%","33,21%","1,52%","37,20%"
yolyardimaku.com.tr,"11,91%","14,59%","74,77%","72,74%","31,39%","33,42%"
google.com,< %10,"7,03%","61,00%","60,34%","27,44%","35,90%"
Siz,"37,51%", --, --,"54,79%","21,11%", --
altintasakumarket.net,< %10,"6,61%","32,91%","25,64%","7,23%","36,70%"
bostanciakumarket.com,< %10,"4,13%","85,91%","85,59%","58,72%","36,18%"
albayakumarket.com,< %10,"5,09%","82,47%","66,34%","27,96%","35,94%"
akuservisim.com,< %10,"9,86%","72,04%","62,19%","25,67%","34,85%"
polatakumarket.com,"13,67%","19,42%","55,90%","60,33%","28,33%","33,44%"
hiziryolyardim.com,< %10,"8,86%","64,15%","76,29%","30,82%","35,38%"
akumyolda.com,< %10,"8,93%","14,95%","18,87%","2,60%","37,01%"
akumgelsin.com.tr,"10,17%","14,04%","23,45%","35,76%","5,82%","36,28%"
batusanaku.com,"14,69%","13,51%","94,27%","83,67%","59,59%","32,74%"
amazon.com.tr,< %10,"2,07%","49,75%","30,34%","14,16%","37,13%"
elmasaku.com,"12,13%","16,31%","47,39%","49,54%","14,18%","34,62%"
bayraktaraku.com.tr,"11,44%","11,47%","35,01%","34,27%","14,37%","36,01%"
hepsiburada.com,"12,91%","10,41%","56,56%","50,56%","21,81%","35,30%"
acilakutakviye.com,< %10,"5,75%","36,10%","30,42%","9,40%","36,73%"
