name,address,latitude,longitude,rating,user_ratings_total,place_id,types,business_status,formatted_phone_number,website,formatted_address,business_name,website_url,domain,has_ads,ads_confidence,ads_error,checked_at
"Kadıköy Otomotiv - Tamir Oto Elektrik Akü, Lastik ve Yol Yardım","Acıbadem, Acıbadem Cd. no8, Kadıköy",40.9951826,29.0338547,5.0,31,ChIJw0sLH4W5yhQRxXU9sRGTO4A,"car_repair, point_of_interest, establishment",OPERATIONAL,0530 299 96 08,https://www.kadikoyotomotiv.com.tr/,"Acıbadem, Acıbadem Cd. no8, 34718 Kadıköy/İstanbul, Türkiye","Kadıköy Otomotiv - Tamir Oto Elektrik Akü, Lastik ve Yol Yardım",https://www.kadikoyotomotiv.com.tr/,kadikoyotomotiv.com.tr,True,high,,2025-10-20 05:12:03
AKÜCÜ VE OTO ELEKTRİKÇİ - OTO AKÜ ŞARJ - AKÜ TAKVİYESİ - 7/24 AKÜ SATIŞI - YOL YARDIM,"Çatma Mescit, Çatma Mescit Çeşme Sk. 15a D:34430, Beyoğlu",41.0313812,28.9714117,4.9,40,ChIJa7MDmfS5yhQReD7M-FgFHpE,"car_repair, store, point_of_interest, establishment",OPERATIONAL,(0212) 582 29 42,,"Çatma Mescit, Çatma Mescit Çeşme Sk. 15a D:34430, 34430 Beyoğlu/İstanbul, Türkiye",AKÜCÜ VE OTO ELEKTRİKÇİ - OTO AKÜ ŞARJ - AKÜ TAKVİYESİ - 7/24 AKÜ SATIŞI - YOL YARDIM,,,False,low,No domain provided,
Kadıköy Oto Elektrik ve akü,"Rasimpaşa Mahallesi Orgeneral Şahap Gürler Caddesi, Çeltikçi Sk. No:8/A, Kadıköy",40.9964062,29.0256376,4.7,83,ChIJlTY71Ia5yhQRHMr9jAYSf0U,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0535 728 74 21,https://kadıköyotoelektrikakü.com/,"Rasimpaşa Mahallesi Orgeneral Şahap Gürler Caddesi, Rasimpaşa, Çeltikçi Sk. No:8/A, 34716 Kadıköy/İstanbul, Türkiye",Kadıköy Oto Elektrik ve akü,https://kadıköyotoelektrikakü.com/,kadıköyotoelektrikakü.com,True,high,,2025-10-20 05:12:03
ELMAS AKÜ,"Sümer, Adnan Kahveci Sk. No:46/B, Zeytinburnu",40.9847387,28.8956338,5.0,161,ChIJ7fUMss-7yhQRz7ZBJKGNTXg,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0534 481 33 80,http://www.elmasaku.com/,"Sümer, Adnan Kahveci Sk. No:46/B, 34025 Zeytinburnu/İstanbul, Türkiye",ELMAS AKÜ,http://www.elmasaku.com/,elmasaku.com,True,high,,2025-10-20 05:12:03
Aksaray Akücü,"Aksaray, Tiryaki Hasan Paşa Sk. No:58, Kat:1, Fatih",41.0076697,28.9507591,5.0,2,ChIJmWQSb9y7yhQRSBe3F5LkXsU,"car_repair, store, point_of_interest, establishment",OPERATIONAL,(0212) 416 20 21,http://www.akubayisi.com/,"Aksaray, Tiryaki Hasan Paşa Sk. No:58, Kat:1, 34096 Fatih/İstanbul, Türkiye",Aksaray Akücü,http://www.akubayisi.com/,akubayisi.com,True,high,,2025-10-20 05:12:03
Inci Akü Uzun Ömürlü Akü,"Aksaray, Küçük Langa Cd. No:114, Fatih",41.0061794,28.9457228,4.9,17,ChIJl90zZiy6yhQRhLm5RpPv6gg,"car_repair, store, point_of_interest, establishment",OPERATIONAL,(0212) 586 76 70,,"Aksaray, Küçük Langa Cd. No:114, 34096 Fatih/İstanbul, Türkiye",Inci Akü Uzun Ömürlü Akü,,,False,low,No domain provided,
Kadıköy Acil Akü Takviye ve Mekanik - 7/24 Oto Elektrik ve Akü Değişim,"Rasimpaşa, Orgeneral Şahap Gürler Cd. No:36/A, Kadıköy",40.9972917,29.0269979,4.9,146,ChIJ63jUQqK5yhQRdIL0L4fEd5Q,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0505 087 19 08,https://kadikoyotoelektrik.com.tr/,"Rasimpaşa, Orgeneral Şahap Gürler Cd. No:36/A, 34716 Kadıköy/İstanbul, Türkiye",Kadıköy Acil Akü Takviye ve Mekanik - 7/24 Oto Elektrik ve Akü Değişim,https://kadikoyotoelektrik.com.tr/,kadikoyotoelektrik.com.tr,False,low,,2025-10-20 05:12:03
KARLICA 7/24 Akü Takviye & Yol Yardım,"Yeşilpınar, Çay Sk. No:1 D:3 D10, Eyüpsultan",41.0713061,28.9169742,4.9,38,ChIJx7QnEXG3yhQRnS_sEONjlXc,"car_repair, point_of_interest, establishment",OPERATIONAL,0532 640 26 63,,"Yeşilpınar, Çay Sk. No:1 D:3 D10, 34065 Eyüpsultan/İstanbul, Türkiye",KARLICA 7/24 Akü Takviye & Yol Yardım,,,False,low,No domain provided,
Mercan Oto Elektrik & Akü,"Sümer, 29/9. Sk. 1B, Zeytinburnu",40.9867126,28.8979527,5.0,8,ChIJkb80nE67yhQRKDWrq-lFw_k,"car_repair, store, point_of_interest, establishment",OPERATIONAL,(0212) 547 96 14,,"Sümer, 29/9. Sk. 1B, 34025 Zeytinburnu/İstanbul, Türkiye",Mercan Oto Elektrik & Akü,,,False,low,No domain provided,
Zirve Akü & Oto Elektrik,"Mehmet Nesih Özmen, Şimşir Sk. No:13, Güngören",41.0117145,28.8823133,5.0,5,ChIJCaMOGUO7yhQRDUcDpsgJnDg,"car_repair, store, point_of_interest, establishment",OPERATIONAL,(0212) 582 40 01,,"Mehmet Nesih Özmen, Şimşir Sk. No:13, 34173 Güngören/İstanbul, Türkiye",Zirve Akü & Oto Elektrik,,,False,low,No domain provided,
Bakırköy Oto Elektrik & Akü,"Osmaniye, İncirli Çk. c Blok. Zemin kat no 4, Bakırköy",40.9945129,28.87935719999999,5.0,19,ChIJM9jpdha7yhQRxwWEkJ6aNZo,"car_repair, store, point_of_interest, establishment",OPERATIONAL,(0212) 415 66 50,,"Osmaniye, İncirli Çk. c Blok. Zemin kat no 4, 34146 Bakırköy/İstanbul, Türkiye",Bakırköy Oto Elektrik & Akü,,,False,low,No domain provided,
LEVENT 7/24 AKÜ TAKVİYE & YOL YARDIM,"Levent, Çarşı Cd., Beşiktaş",41.0756935,29.0150069,5.0,57,ChIJL66Fee23yhQRTcA73x5RT-s,"car_repair, point_of_interest, establishment",OPERATIONAL,0532 450 40 69,,"Levent, Çarşı Cd., 34330 Beşiktaş/İstanbul, Türkiye",LEVENT 7/24 AKÜ TAKVİYE & YOL YARDIM,,,False,low,No domain provided,
Esenler Akü Market -AKÜ YOL YARDIM,"Oruçreis, Şht. Ali Karahan Cd. No:103/A, Esenler",41.0609556,28.8591533,4.8,134,ChIJAT8jkkulyhQRgKBmqz01q1o,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0537 300 14 58,https://esenlerakumarket.com/,"Oruçreis, Şht. Ali Karahan Cd. No:103/A, 34235 Esenler/İstanbul, Türkiye",Esenler Akü Market -AKÜ YOL YARDIM,https://esenlerakumarket.com/,esenlerakumarket.com,True,high,,2025-10-20 05:12:04
Karagöz Akü Market,"Sarıgöl, Çimentepe Sk. No:42, Gaziosmanpaşa",41.0572899,28.9185121,4.8,162,ChIJ3Z8_BpCwyhQRKhBp1KY9N_o,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0532 414 42 01,,"Sarıgöl, Çimentepe Sk. No:42, 34245 Gaziosmanpaşa/İstanbul, Türkiye",Karagöz Akü Market,,,False,low,No domain provided,
"AVRASYA AKÜ 7/24 ACİL Akü Takviye & Değişim, Yol Yardım","Gülbahar, Gayret Sk. 20/12, Şişli",41.070706,29.0043276,5.0,42,ChIJ5TCbbMC3yhQRwf_2XzK0mew,"car_repair, point_of_interest, establishment",OPERATIONAL,0546 421 61 61,http://www.akuteknik.com/,"Gülbahar, Gayret Sk. 20/12, 34394 Şişli/İstanbul, Türkiye","AVRASYA AKÜ 7/24 ACİL Akü Takviye & Değişim, Yol Yardım",http://www.akuteknik.com/,akuteknik.com,True,high,,2025-10-20 05:12:04
7/24 Acil Yol Yardım | Yerinde Akü Değişim & Akü Takviye | Yerinde Lastik Değişim | Anadolu Yakası,"Ünalan, Yüzer Sk. No:20/3, Üsküdar",40.99976160000001,29.0637742,5.0,369,ChIJj25aTyDHyhQRUdnkcDJtKnc,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0554 705 03 79,https://anadoluaracyolyardim.com/,"Ünalan, Yüzer Sk. No:20/3, 34700 Üsküdar/İstanbul, Türkiye",7/24 Acil Yol Yardım | Yerinde Akü Değişim & Akü Takviye | Yerinde Lastik Değişim | Anadolu Yakası,https://anadoluaracyolyardim.com/,anadoluaracyolyardim.com,False,low,,2025-10-20 05:12:04
Kadıköy Mücahit Oto Akü Oto Lastik Oto Elektirik Ve Yol Yardım ÇILGIN HACI,"Rasimpaşa, Orgeneral Şahap Gürler Cd. No: 22/A, Kadıköy",40.9968959,29.0262182,4.4,213,ChIJqUFyoWu4yhQRfc2BKlMh9Ak,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0532 706 18 15,http://www.mucahitotoaku.com/,"Rasimpaşa, Orgeneral Şahap Gürler Cd. No: 22/A, 34716 Kadıköy/İstanbul, Türkiye",Kadıköy Mücahit Oto Akü Oto Lastik Oto Elektirik Ve Yol Yardım ÇILGIN HACI,http://www.mucahitotoaku.com/,mucahitotoaku.com,True,high,,2025-10-20 05:12:04
"AVRUPA AKÜ 7/24 ACİL Akü Takviye & Değişim , Yol Yardım","Balmumcu, Zincirlikuyu Sk., Beşiktaş",41.0642498,29.0125327,5.0,10,ChIJ2fXDodS3yhQRO0AVafkNyb8,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0541 187 61 84,http://www.akuteknik.com/,"Balmumcu, Zincirlikuyu Sk., 34345 Beşiktaş/İstanbul, Türkiye","AVRUPA AKÜ 7/24 ACİL Akü Takviye & Değişim , Yol Yardım",http://www.akuteknik.com/,akuteknik.com,True,high,,2025-10-20 05:12:04
Mihrimah Oto Akü Oto Bakım Oto Elektrik Oto Lastik ve Oto Yol Yardım Servisi,"Hasanpaşa, Kurbağalıdere Cd. No:119, Kadıköy",40.9952317,29.0421391,4.9,135,ChIJjb4Hx5S5yhQRMFemv00SMtg,"car_repair, car_dealer, store, point_of_interest, establishment",OPERATIONAL,0552 174 37 38,https://mihrimahoto.com/#anasayfa,"Hasanpaşa, Kurbağalıdere Cd. No:119, 34744 Kadıköy/İstanbul, Türkiye",Mihrimah Oto Akü Oto Bakım Oto Elektrik Oto Lastik ve Oto Yol Yardım Servisi,https://mihrimahoto.com/#anasayfa,mihrimahoto.com,False,low,,2025-10-20 05:12:05
Acil Akücü Koçyiğit Otomotiv akü 7/24 Yol Yardım,"Atatürk oto sanayi sitesi 2. kısım, 26. Sk. no:1000, Sarıyer",41.1164755,29.0180298,4.8,20,ChIJDczvylu1yhQRwxmTI2ah86Q,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0537 954 90 27,,"Atatürk oto sanayi sitesi 2. kısım, Maslak, 26. Sk. no:1000, 34485 Sarıyer/İstanbul, Türkiye",Acil Akücü Koçyiğit Otomotiv akü 7/24 Yol Yardım,,,False,low,No domain provided,
Akücü 7/24 açık Maslak akü Zafer akü Varta Mutlu akü takviye oto klima Sarıyer,"Maslak, oto sanayi 1 kısım 296/1, Sarıyer",41.1177072,29.0225427,5.0,1012,ChIJJVMZWK_LyhQRMC4yvIYk59w,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0531 632 29 55,https://akucuzafer34.wixsite.com/sitem,"Maslak, oto sanayi 1 kısım 296/1, 34389 Sarıyer/İstanbul, Türkiye",Akücü 7/24 açık Maslak akü Zafer akü Varta Mutlu akü takviye oto klima Sarıyer,https://akucuzafer34.wixsite.com/sitem,akucuzafer34.wixsite.com,True,high,,2025-10-20 05:12:05
Levent Nokta Akü Market İstanbul Akücü varta inci mutlu akü,"Huzur, Ulubaş Cd. Oto Sanayi sitesi no12/B, Sarıyer",41.0971997,29.0053492,5.0,29,ChIJJ2IqNXS3yhQRMvuSVgZ35QE,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0541 400 57 58,,"Huzur, Ulubaş Cd. Oto Sanayi sitesi no12/B, 34396 Sarıyer/İstanbul, Türkiye",Levent Nokta Akü Market İstanbul Akücü varta inci mutlu akü,,,False,low,No domain provided,
AKÜ MARKET,"Çırçır Mahallesi, Alibeyköy, Saya Yolu Cd. No4/b",41.0764421,28.9392044,5.0,10,ChIJ55qTkaOxyhQRR1M2eMqSkMM,"car_repair, point_of_interest, establishment",OPERATIONAL,0532 552 22 76,,"Çırçır Mahallesi, Alibeyköy, Saya Yolu Cd. No4/b, 34070 Eyüpsultan/İstanbul, Türkiye",AKÜ MARKET,,,False,low,No domain provided,
İstinye Akü Merkezi - Oto Akü - Tekne ve Yat Aküsü,"İstinye, Sarıyer Cd., Sarıyer",41.1136954,29.0531864,5.0,2,ChIJ-_BAZ3HLyhQRUoTwJHMr3gA,"car_wash, car_rental, car_repair, store, point_of_interest, establishment",OPERATIONAL,0553 270 08 08,https://adenvipgarage.com.tr/aku-servisi/,"İstinye, Sarıyer Cd., 34460 Sarıyer/İstanbul, Türkiye",İstinye Akü Merkezi - Oto Akü - Tekne ve Yat Aküsü,https://adenvipgarage.com.tr/aku-servisi/,adenvipgarage.com.tr,False,low,,2025-10-20 05:12:05
Yiğit Akü,"72, Topçular, Rami Kışla Cd., Eyüpsultan",41.0434077,28.9184444,4.2,11,ChIJXYW5U3e6yhQR_3dFxiDM0bk,"car_repair, point_of_interest, establishment",OPERATIONAL,0535 404 73 64,,"72, Topçular, Rami Kışla Cd., 34055 Eyüpsultan/İstanbul, Türkiye",Yiğit Akü,,,False,low,No domain provided,
MUTLU AKÜ - Satış ve servisi,"AOS, Maslak, Atatürk Sanayi Sitesi 1. Kısım 45. Sk. No:28, Sarıyer",41.1172127,29.0204772,4.7,54,ChIJhQ0N1721yhQRT1z3Q6G9tww,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0552 212 58 28,,"AOS, Maslak, Atatürk Sanayi Sitesi 1. Kısım 45. Sk. No:28, 34398 Sarıyer/İstanbul, Türkiye",MUTLU AKÜ - Satış ve servisi,,,False,low,No domain provided,
Akü I Mutlu Akü I Varta Akü I Akü Takviye ve Akü Şarj Oto Elektrik ve Yol Yardım Tamir Ustası Cihangir TAKSİM - BEYOĞLU,"Pürtelaş Hasan Efendi Mahallesi Akyol Caddesi No:7/A, Cihangir, Akyol Sk. No: 7, Beyoğlu",41.0316379,28.9872837,5.0,228,ChIJKdRSRTY2j48RH7_ClVgvVEs,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0532 336 19 65,,"Pürtelaş Hasan Efendi Mahallesi Akyol Caddesi No:7/A, Cihangir, Akyol Sk. No: 7, 34433 Beyoğlu/İstanbul, Türkiye",Akü I Mutlu Akü I Varta Akü I Akü Takviye ve Akü Şarj Oto Elektrik ve Yol Yardım Tamir Ustası Cihangir TAKSİM - BEYOĞLU,,,False,low,No domain provided,
Kerem Akü Yerinde Montaj Hizmeti | Akü Fiyatları | Oto ve Motosiklet Aküsü | Takviye Hizmeti | Acil akü | Hata Kodu Silme,"Fulya, Mehmetçik Cd. No: 3B, Şişli",41.06336200000001,28.9955618,5.0,162,ChIJuT9PZ7i3yhQR1QEPm2IwsZM,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0551 964 03 45,https://www.keremaku.com/,"Fulya, Mehmetçik Cd. No: 3B, 34394 Şişli/İstanbul, Türkiye",Kerem Akü Yerinde Montaj Hizmeti | Akü Fiyatları | Oto ve Motosiklet Aküsü | Takviye Hizmeti | Acil akü | Hata Kodu Silme,https://www.keremaku.com/,keremaku.com,True,high,,2025-10-20 05:12:05
Gürek Oto Elektrik,"Ortamahalle, İbrahim Ağa caddesi, Akel Sk. No:11, 34035, Bayrampaşa",41.0305183,28.919608,4.6,111,ChIJ1Z5wQ2i6yhQR8KP4UVpTbt4,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0505 329 19 14,,"Ortamahalle, İbrahim Ağa caddesi, Orta, Akel Sk. No:11, 34035, 34030 Bayrampaşa/İstanbul, Türkiye",Gürek Oto Elektrik,,,False,low,No domain provided,
AYYILDIZ AKÜ MARKET ÜMRANİYE | ACİL AKÜCÜ,"Esenevler, Talatpaşa Cd No:4/A, Ümraniye",41.0179901,29.0858359,4.6,111,ChIJd2vDfGDIyhQRQ0TnVrthKXA,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0538 820 64 84,https://akuservisim.com/,"Esenevler, Talatpaşa Cd No:4/A, 34762 Ümraniye/İstanbul, Türkiye",AYYILDIZ AKÜ MARKET ÜMRANİYE | ACİL AKÜCÜ,https://akuservisim.com/,akuservisim.com,True,high,,2025-10-20 05:12:06
