name,address,latitude,longitude,rating,user_ratings_total,place_id,types,business_status,formatted_phone_number,website,formatted_address,business_name,website_url,domain,has_ads,ads_confidence,ads_error,checked_at
"Kadıköy Otomotiv - Tamir Oto Elektrik Akü, Lastik ve Yol Yardım","Acıbadem, Acıbadem Cd. no8, Kadıköy",40.9951826,29.0338547,5.0,31,ChIJw0sLH4W5yhQRxXU9sRGTO4A,"car_repair, point_of_interest, establishment",OPERATIONAL,0530 299 96 08,https://www.kadikoyotomotiv.com.tr/,"Acıbadem, Acıbadem Cd. no8, 34718 Kadıköy/İstanbul, Türkiye","Kadıköy Otomotiv - Tamir Oto Elektrik Akü, Lastik ve Yol Yardım",https://www.kadikoyotomotiv.com.tr/,kadikoyotomotiv.com.tr,True,high,,2025-10-20 05:12:03
AKÜCÜ VE OTO ELEKTRİKÇİ - OTO AKÜ ŞARJ - AKÜ TAKVİYESİ - 7/24 AKÜ SATIŞI - YOL YARDIM,"Çatma Mescit, Çatma Mescit Çeşme Sk. 15a D:34430, Beyoğlu",41.0313812,28.9714117,4.9,40,ChIJa7MDmfS5yhQReD7M-FgFHpE,"car_repair, store, point_of_interest, establishment",OPERATIONAL,(0212) 582 29 42,,"Çatma Mescit, Çatma Mescit Çeşme Sk. 15a D:34430, 34430 Beyoğlu/İstanbul, Türkiye",AKÜCÜ VE OTO ELEKTRİKÇİ - OTO AKÜ ŞARJ - AKÜ TAKVİYESİ - 7/24 AKÜ SATIŞI - YOL YARDIM,,,False,low,No domain provided,
Kadıköy Acil Akü Takviye ve Mekanik - 7/24 Oto Elektrik ve Akü Değişim,"Rasimpaşa, Orgeneral Şahap Gürler Cd. No:36/A, Kadıköy",40.9972917,29.0269979,4.9,146,ChIJ63jUQqK5yhQRdIL0L4fEd5Q,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0505 087 19 08,https://kadikoyotoelektrik.com.tr/,"Rasimpaşa, Orgeneral Şahap Gürler Cd. No:36/A, 34716 Kadıköy/İstanbul, Türkiye",Kadıköy Acil Akü Takviye ve Mekanik - 7/24 Oto Elektrik ve Akü Değişim,https://kadikoyotoelektrik.com.tr/,kadikoyotoelektrik.com.tr,False,low,,2025-10-20 05:12:03
KARLICA 7/24 Akü Takviye & Yol Yardım,"Yeşilpınar, Çay Sk. No:1 D:3 D10, Eyüpsultan",41.0713061,28.9169742,4.9,38,ChIJx7QnEXG3yhQRnS_sEONjlXc,"car_repair, point_of_interest, establishment",OPERATIONAL,0532 640 26 63,,"Yeşilpınar, Çay Sk. No:1 D:3 D10, 34065 Eyüpsultan/İstanbul, Türkiye",KARLICA 7/24 Akü Takviye & Yol Yardım,,,False,low,No domain provided,
LEVENT 7/24 AKÜ TAKVİYE & YOL YARDIM,"Levent, Çarşı Cd., Beşiktaş",41.0756935,29.0150069,5.0,57,ChIJL66Fee23yhQRTcA73x5RT-s,"car_repair, point_of_interest, establishment",OPERATIONAL,0532 450 40 69,,"Levent, Çarşı Cd., 34330 Beşiktaş/İstanbul, Türkiye",LEVENT 7/24 AKÜ TAKVİYE & YOL YARDIM,,,False,low,No domain provided,
Esenler Akü Market -AKÜ YOL YARDIM,"Oruçreis, Şht. Ali Karahan Cd. No:103/A, Esenler",41.0609556,28.8591533,4.8,134,ChIJAT8jkkulyhQRgKBmqz01q1o,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0537 300 14 58,https://esenlerakumarket.com/,"Oruçreis, Şht. Ali Karahan Cd. No:103/A, 34235 Esenler/İstanbul, Türkiye",Esenler Akü Market -AKÜ YOL YARDIM,https://esenlerakumarket.com/,esenlerakumarket.com,True,high,,2025-10-20 05:12:04
"AVRASYA AKÜ 7/24 ACİL Akü Takviye & Değişim, Yol Yardım","Gülbahar, Gayret Sk. 20/12, Şişli",41.070706,29.0043276,5.0,42,ChIJ5TCbbMC3yhQRwf_2XzK0mew,"car_repair, point_of_interest, establishment",OPERATIONAL,0546 421 61 61,http://www.akuteknik.com/,"Gülbahar, Gayret Sk. 20/12, 34394 Şişli/İstanbul, Türkiye","AVRASYA AKÜ 7/24 ACİL Akü Takviye & Değişim, Yol Yardım",http://www.akuteknik.com/,akuteknik.com,True,high,,2025-10-20 05:12:04
7/24 Acil Yol Yardım | Yerinde Akü Değişim & Akü Takviye | Yerinde Lastik Değişim | Anadolu Yakası,"Ünalan, Yüzer Sk. No:20/3, Üsküdar",40.99976160000001,29.0637742,5.0,369,ChIJj25aTyDHyhQRUdnkcDJtKnc,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0554 705 03 79,https://anadoluaracyolyardim.com/,"Ünalan, Yüzer Sk. No:20/3, 34700 Üsküdar/İstanbul, Türkiye",7/24 Acil Yol Yardım | Yerinde Akü Değişim & Akü Takviye | Yerinde Lastik Değişim | Anadolu Yakası,https://anadoluaracyolyardim.com/,anadoluaracyolyardim.com,False,low,,2025-10-20 05:12:04
Kadıköy Mücahit Oto Akü Oto Lastik Oto Elektirik Ve Yol Yardım ÇILGIN HACI,"Rasimpaşa, Orgeneral Şahap Gürler Cd. No: 22/A, Kadıköy",40.9968959,29.0262182,4.4,213,ChIJqUFyoWu4yhQRfc2BKlMh9Ak,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0532 706 18 15,http://www.mucahitotoaku.com/,"Rasimpaşa, Orgeneral Şahap Gürler Cd. No: 22/A, 34716 Kadıköy/İstanbul, Türkiye",Kadıköy Mücahit Oto Akü Oto Lastik Oto Elektirik Ve Yol Yardım ÇILGIN HACI,http://www.mucahitotoaku.com/,mucahitotoaku.com,True,high,,2025-10-20 05:12:04
"AVRUPA AKÜ 7/24 ACİL Akü Takviye & Değişim , Yol Yardım","Balmumcu, Zincirlikuyu Sk., Beşiktaş",41.0642498,29.0125327,5.0,10,ChIJ2fXDodS3yhQRO0AVafkNyb8,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0541 187 61 84,http://www.akuteknik.com/,"Balmumcu, Zincirlikuyu Sk., 34345 Beşiktaş/İstanbul, Türkiye","AVRUPA AKÜ 7/24 ACİL Akü Takviye & Değişim , Yol Yardım",http://www.akuteknik.com/,akuteknik.com,True,high,,2025-10-20 05:12:04
Mihrimah Oto Akü Oto Bakım Oto Elektrik Oto Lastik ve Oto Yol Yardım Servisi,"Hasanpaşa, Kurbağalıdere Cd. No:119, Kadıköy",40.9952317,29.0421391,4.9,135,ChIJjb4Hx5S5yhQRMFemv00SMtg,"car_repair, car_dealer, store, point_of_interest, establishment",OPERATIONAL,0552 174 37 38,https://mihrimahoto.com/#anasayfa,"Hasanpaşa, Kurbağalıdere Cd. No:119, 34744 Kadıköy/İstanbul, Türkiye",Mihrimah Oto Akü Oto Bakım Oto Elektrik Oto Lastik ve Oto Yol Yardım Servisi,https://mihrimahoto.com/#anasayfa,mihrimahoto.com,False,low,,2025-10-20 05:12:05
Acil Akücü Koçyiğit Otomotiv akü 7/24 Yol Yardım,"Atatürk oto sanayi sitesi 2. kısım, 26. Sk. no:1000, Sarıyer",41.1164755,29.0180298,4.8,20,ChIJDczvylu1yhQRwxmTI2ah86Q,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0537 954 90 27,,"Atatürk oto sanayi sitesi 2. kısım, Maslak, 26. Sk. no:1000, 34485 Sarıyer/İstanbul, Türkiye",Acil Akücü Koçyiğit Otomotiv akü 7/24 Yol Yardım,,,False,low,No domain provided,
Akücü 7/24 açık Maslak akü Zafer akü Varta Mutlu akü takviye oto klima Sarıyer,"Maslak, oto sanayi 1 kısım 296/1, Sarıyer",41.1177072,29.0225427,5.0,1012,ChIJJVMZWK_LyhQRMC4yvIYk59w,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0531 632 29 55,https://akucuzafer34.wixsite.com/sitem,"Maslak, oto sanayi 1 kısım 296/1, 34389 Sarıyer/İstanbul, Türkiye",Akücü 7/24 açık Maslak akü Zafer akü Varta Mutlu akü takviye oto klima Sarıyer,https://akucuzafer34.wixsite.com/sitem,akucuzafer34.wixsite.com,True,high,,2025-10-20 05:12:05
Akü I Mutlu Akü I Varta Akü I Akü Takviye ve Akü Şarj Oto Elektrik ve Yol Yardım Tamir Ustası Cihangir TAKSİM - BEYOĞLU,"Pürtelaş Hasan Efendi Mahallesi Akyol Caddesi No:7/A, Cihangir, Akyol Sk. No: 7, Beyoğlu",41.0316379,28.9872837,5.0,228,ChIJKdRSRTY2j48RH7_ClVgvVEs,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0532 336 19 65,,"Pürtelaş Hasan Efendi Mahallesi Akyol Caddesi No:7/A, Cihangir, Akyol Sk. No: 7, 34433 Beyoğlu/İstanbul, Türkiye",Akü I Mutlu Akü I Varta Akü I Akü Takviye ve Akü Şarj Oto Elektrik ve Yol Yardım Tamir Ustası Cihangir TAKSİM - BEYOĞLU,,,False,low,No domain provided,
Kerem Akü Yerinde Montaj Hizmeti | Akü Fiyatları | Oto ve Motosiklet Aküsü | Takviye Hizmeti | Acil akü | Hata Kodu Silme,"Fulya, Mehmetçik Cd. No: 3B, Şişli",41.06336200000001,28.9955618,5.0,162,ChIJuT9PZ7i3yhQR1QEPm2IwsZM,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0551 964 03 45,https://www.keremaku.com/,"Fulya, Mehmetçik Cd. No: 3B, 34394 Şişli/İstanbul, Türkiye",Kerem Akü Yerinde Montaj Hizmeti | Akü Fiyatları | Oto ve Motosiklet Aküsü | Takviye Hizmeti | Acil akü | Hata Kodu Silme,https://www.keremaku.com/,keremaku.com,True,high,,2025-10-20 05:12:05
AYYILDIZ AKÜ MARKET ÜMRANİYE | ACİL AKÜCÜ,"Esenevler, Talatpaşa Cd No:4/A, Ümraniye",41.0179901,29.0858359,4.6,111,ChIJd2vDfGDIyhQRQ0TnVrthKXA,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0538 820 64 84,https://akuservisim.com/,"Esenevler, Talatpaşa Cd No:4/A, 34762 Ümraniye/İstanbul, Türkiye",AYYILDIZ AKÜ MARKET ÜMRANİYE | ACİL AKÜCÜ,https://akuservisim.com/,akuservisim.com,True,high,,2025-10-20 05:12:06
"MELLON AKÜ 7/24 ACİL Akü Takviye & Değişim , Yol Yardım","Akat, Yeşim Sk. No:16, Beşiktaş",41.0797306,29.0262843,5.0,18,ChIJlbEw8Ti5yhQRgs4Uu6-zMiE,"car_repair, point_of_interest, establishment",OPERATIONAL,0546 176 32 61,http://www.akuteknik.com/,"Akat, Yeşim Sk. No:16, 34335 Beşiktaş/İstanbul, Türkiye","MELLON AKÜ 7/24 ACİL Akü Takviye & Değişim , Yol Yardım",http://www.akuteknik.com/,akuteknik.com,True,high,,2025-10-20 05:12:06
7/24 ACİL AKÜ & ACİL LASTİK & AKÜ DEĞİŞİM & YOL YARDIM & LASTİK DEĞİŞİMİ&AKÜ TAKVİYE&UTTS MONTAJ,"Küplüce, Nuri Bey Sk. No:83, Üsküdar",41.0320936,29.0583429,4.9,29,ChIJgSkqHijJyhQR0zVoZDyb9DI,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0541 691 49 61,http://www.inciaku.com/tr,"Küplüce, Nuri Bey Sk. No:83, 34674 Üsküdar/İstanbul, Türkiye",7/24 ACİL AKÜ & ACİL LASTİK & AKÜ DEĞİŞİM & YOL YARDIM & LASTİK DEĞİŞİMİ&AKÜ TAKVİYE&UTTS MONTAJ,http://www.inciaku.com/tr,inciaku.com,True,high,,2025-10-20 05:12:06
BURKA TICARET 7/24 AKU ELEKTRİK YOL YARDİM SERVİSİ,"İnönü, Dolapdere Cd. No:2, Şişli",41.0429259,28.9816655,4.0,21,ChIJyXq9M2m3yhQR8QL3fpXfqcE,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0553 536 58 12,,"İnönü, Dolapdere Cd. No:2, 34373 Şişli/İstanbul, Türkiye",BURKA TICARET 7/24 AKU ELEKTRİK YOL YARDİM SERVİSİ,,,False,low,No domain provided,
ÇAĞLAR OTOMOTİV AKÜ YOL YARDIMI ANADOLU YAKASI MOLL VARTA MUTLU AKÜ,"Yamanevler, Fatih Sultan Mehmet Sanayi Sitesi A2 Blok 22, Ümraniye",41.0258354,29.118531,5.0,81,ChIJaY8gfd7IyhQR1CT8VTAwODo,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0554 143 66 37,https://www.caglaraku.com.tr/,"Yamanevler, Fatih Sultan Mehmet Sanayi Sitesi A2 Blok 22, 34768 Ümraniye/İstanbul, Türkiye",ÇAĞLAR OTOMOTİV AKÜ YOL YARDIMI ANADOLU YAKASI MOLL VARTA MUTLU AKÜ,https://www.caglaraku.com.tr/,caglaraku.com.tr,True,high,,2025-10-20 05:12:06
BATUSAN AKÜ - ÜMRANİYE AKÜ - 7/24 ACİL AKÜ - AKÜ YOL YARDIM - AKÜCÜ - AKÜ SERVİSİ -,"Atakent, Mithatpaşa Cd. No:161A D:1, Ümraniye",41.022338,29.113236,5.0,367,ChIJlbUN9vrIyhQR5h02c6cXMxI,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0534 635 32 10,https://batusanaku.com/,"Atakent, Mithatpaşa Cd. No:161A D:1, 34307 Ümraniye/İstanbul, Türkiye",BATUSAN AKÜ - ÜMRANİYE AKÜ - 7/24 ACİL AKÜ - AKÜ YOL YARDIM - AKÜCÜ - AKÜ SERVİSİ -,https://batusanaku.com/,batusanaku.com,True,high,,2025-10-20 05:12:06
Ümraniye Akü Yol Yardım Takviye,"Yamanevler, Gümrükçüler Sanayi Sitesi E Blok No: 2, Ümraniye",41.0232641,29.1174746,5.0,11,ChIJMzSEq8qlyhQR702nJU1u5Ps,"car_repair, point_of_interest, establishment",OPERATIONAL,0537 475 38 97,,"Yamanevler, Gümrükçüler Sanayi Sitesi E Blok No: 2, 34768 Ümraniye/İstanbul, Türkiye",Ümraniye Akü Yol Yardım Takviye,,,False,low,No domain provided,
Küçükçekmece Mobil Akücü - 7/24 Akü Yol Yardım & Takviye | Paşaoğlu Akü,"Meydan Halkalı Residance, Halkalı Merkez, 1. İkitelli Cad. A Blok, Küçükçekmece",41.0361921,28.7893357,5.0,48,ChIJx8NZ7kGlyhQR9FrmlKtLwyQ,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0540 226 23 23,https://www.pasaogluaku.com/kucukcekmece-akucu,"Meydan Halkalı Residance, Halkalı Merkez, 1. İkitelli Cad. A Blok, 34307 Küçükçekmece/İstanbul, Türkiye",Küçükçekmece Mobil Akücü - 7/24 Akü Yol Yardım & Takviye | Paşaoğlu Akü,https://www.pasaogluaku.com/kucukcekmece-akucu,pasaogluaku.com,True,high,,2025-10-20 05:12:07
HCS AKÜ MARKET - 7/24 AKÜ SERVİSİ,"Yenibosna Merkez, Atatürk Cd. No:43 D:C, Bahçelievler",41.0146328,28.8347526,5.0,36,ChIJ9YF8NFulyhQRx8qBjqSYQZI,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0531 560 67 55,https://www.yolyardimaku.com.tr/,"Yenibosna Merkez, Atatürk Cd. No:43 D:C, 34000 Bahçelievler/İstanbul, Türkiye",HCS AKÜ MARKET - 7/24 AKÜ SERVİSİ,https://www.yolyardimaku.com.tr/,yolyardimaku.com.tr,True,high,,2025-10-20 05:12:07
7/24 Yol Yardım Oto Elektrik Akü Ve Lastikçi,"Barbaros, 202. Sk 23/A, Bağcılar",41.0220502,28.840196,4.8,165,ChIJ8eOiZiulyhQRchUqu7L1Eb4,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0532 437 94 90,https://7-24yolyardimi.com/,"Barbaros, 202. Sk 23/A, 34200 Bağcılar/İstanbul, Türkiye",7/24 Yol Yardım Oto Elektrik Akü Ve Lastikçi,https://7-24yolyardimi.com/,7-24yolyardimi.com,False,low,,2025-10-20 05:12:07
Mobil Akücü Mrt Akü Market,"Kocasinan Merkez, Gökdere Sk. No:12 D:5, Bahçelievler",41.0155808,28.8427397,4.8,18,ChIJN73web6lyhQR8p6KvYmx6Jc,"car_repair, store, point_of_interest, establishment",OPERATIONAL,(0212) 706 47 65,,"Kocasinan Merkez, Gökdere Sk. No:12 D:5, 34186 Bahçelievler/İstanbul, Türkiye",Mobil Akücü Mrt Akü Market,,,False,low,No domain provided,
Akü istoç inci akü mutlu akü yigit akü ucuz akü acil akü,"Bagcılar istoç oto market o5 blok no 131, Bağcılar",41.0663527,28.83637779999999,5.0,6,ChIJE6Iu7dalyhQRVQ4TrqiTHGI,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0538 601 38 48,,"Bagcılar istoç oto market o5 blok no 131, Göztepe, 34500 Bağcılar/İstanbul, Türkiye",Akü istoç inci akü mutlu akü yigit akü ucuz akü acil akü,,,False,low,No domain provided,
